customer_id,name,email,gender,age,location,join_date,persona
1,Rose Briggs,randallkimberly@example.org,Male,35,Bengaluru,2023-01-27,Tech Enthusiast
2,Gwendolyn Dyer,daniel12@example.org,Male,19,Jodhpur,2022-05-23,Family Shopper
3,John Marshall,lparsons@example.org,Female,20,Jodhpur,2024-05-26,Fashionista
4,Mrs. Rose Matthews,andrewsanders@example.net,Male,19,Mumbai,2021-01-23,Family Shopper
5,Daniel Webster,michael50@example.com,Male,20,Bengaluru,2022-12-05,Family Shopper
6,Jorge Copeland,sarahcardenas@example.org,Female,33,Raipur,2022-08-26,Fashionista
7,Christopher Wilson,rcastillo@example.com,Female,45,Mumbai,2021-04-09,Family Shopper
8,Brianna Woods,stephenvaughn@example.net,Female,18,Delhi,2023-03-01,Fashionista
9,Christina Mcmillan,underwoodmark@example.com,Male,34,Hyderabad,2023-07-09,Fashionista
10,Kevin Hernandez,allisoncarter@example.org,Female,30,Bengaluru,2024-05-31,Family Shopper
11,Stephanie Weaver MD,julie28@example.org,Female,31,Hyderabad,2022-03-28,Family Shopper
12,Stephanie Adams,allenkeith@example.net,Female,23,Mysuru,2023-02-07,Family Shopper
13,James Francis,ricky62@example.net,Female,37,Kanpur,2021-04-09,Family Shopper
14,William Sanchez,darryl60@example.net,Female,50,Bengaluru,2021-03-12,Family Shopper
15,Amanda Anderson,jeff73@example.net,Female,34,Bengaluru,2022-06-04,Tech Enthusiast
16,Vicki Adams,chelseyperez@example.org,Female,57,Delhi,2020-07-01,Tech Enthusiast
17,Patty Wagner,tlopez@example.net,Female,68,Bengaluru,2021-08-17,Fashionista
18,Eric Leon,ginavillanueva@example.org,Female,19,Bhopal,2023-08-24,Family Shopper
19,Susan Lara,slewis@example.net,Female,35,Mumbai,2024-04-01,Fashionista
20,Danielle Taylor,vargasrebekah@example.com,Male,46,Lucknow,2021-07-15,Fashionista
21,Peter Murray,murillojennifer@example.net,Male,20,Varanasi,2022-09-08,Family Shopper
22,Amanda Williams,max74@example.com,Female,58,Mysuru,2024-10-14,Family Shopper
23,Scott Martin,redwards@example.com,Male,19,Kolkata,2021-10-08,Tech Enthusiast
24,Samuel Lopez,muellerandrea@example.com,Male,57,Mumbai,2024-06-08,Tech Enthusiast
25,Carrie Porter,jimmy54@example.com,Female,24,Chennai,2022-04-07,Family Shopper
26,Taylor Hansen,amanda94@example.org,Female,32,Gorakhpur,2020-10-19,Family Shopper
27,Samantha Garcia,kristinsilva@example.com,Female,28,Mumbai,2022-02-08,Family Shopper
28,Alexandra Norris,kevinjohnson@example.net,Female,40,Jodhpur,2021-06-09,Fashionista
29,Karina Finley,dcarrillo@example.com,Male,18,Jodhpur,2022-03-26,Fashionista
30,Katherine Gonzalez,abrown@example.org,Female,59,Bengaluru,2021-08-08,Fashionista
31,Nathan Boyd,phillipslaura@example.net,Female,42,Kanpur,2022-11-25,Fashionista
32,David Kennedy Jr.,iholloway@example.net,Female,64,Lucknow,2024-10-09,Family Shopper
33,Ryan Smith,andrea82@example.net,Male,55,Hyderabad,2021-07-20,Fashionista
34,Barbara Jackson,fcalhoun@example.net,Female,56,Jaipur,2021-12-13,Family Shopper
35,Glen Holmes,nicholaspratt@example.org,Male,36,Bengaluru,2021-12-19,Family Shopper
36,Stephanie Stephenson,williamoconnor@example.org,Female,40,Bengaluru,2020-07-08,Family Shopper
37,Timothy Miller,jeffreyramirez@example.com,Male,18,Jodhpur,2021-07-24,Fashionista
